"file","function","score","rank"
templatesimplifier.cpp,_ZN18TemplateSimplifier18templateParametersEPK5Token,0.07692307692307693,182
tokenlist.cpp,_ZL12compileBinOpRP5TokenR9AST_statePFvS1_S3_E,0.07692307692307693,182
astutils.cpp,_ZZ19followAllReferencesPK5TokenbbNSt7__debug4listISt4pairIS1_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEESaISB_EEEiENK18ReferenceTokenLessclERK14ReferenceTokenSH_,0.07692307692307693,182
token.cpp,_ZNK5Token18findOpeningBracketEv,0.07692307692307693,182
token.cpp,_ZN5Token11insertTokenERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES7_b,0.07692307692307693,182
symboldatabase.cpp,_ZN14SymbolDatabase25createSymbolDatabaseEnumsEv,0.07692307692307693,182
valueflow.cpp,_ZNK17ValueFlowAnalyzer10isWritableEPK5TokenN8Analyzer9DirectionE,0.07692307692307693,182
valueflow.cpp,_ZNK17ValueFlowAnalyzer19isSameSymbolicValueEPK5TokenPNSt7__debug4listISt4pairIS2_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEESaISC_EEE,0.07692307692307693,182
symboldatabase.cpp,_ZNK9ValueType3strB5cxx11Ev,0.07692307692307693,182
tokenize.cpp,_ZN9Tokenizer28simplifyRedundantParenthesesEv,0.07692307692307693,182
tokenize.cpp,_ZNK9Tokenizer19reportUnknownMacrosEv,0.07692307692307693,182
symboldatabase.cpp,_ZL20skipScopeIdentifiersPK5Token,0.07142857142857142,195
programmemory.cpp,_ZZ27programMemoryParseConditionR13ProgramMemoryPK5TokenS3_PK8SettingsbENKUlS3_E_clES3_,0.07142857142857142,195
token.cpp,_ZNK5Token18findClosingBracketEv,0.07142857142857142,195
valueflow.cpp,_ZL15valueFlowNumberP9TokenList,0.07142857142857142,195
valueflow.cpp,_ZL32valueFlowUninitPointerAliasDerefP9TokenList,0.07142857142857142,195
tokenlist.cpp,_ZZNK9TokenList11validateAstEvENKUlvE_clEv,0.07142857142857142,195
valueflow.cpp,_ZL24valueFlowGlobalStaticVarP9TokenListPK8Settings,0.07142857142857142,195
astutils.cpp,_Z19isExpressionChangedPK5TokenS1_S1_PK8Settingsbi,0.07142857142857142,195
